cityName,content,gender ,nickName,userLevel,score,time,date,evaluate
上海,其实还不错，没有网上说得那么不堪，如果我们去拍欧美的传说，估计想都不敢想,0,小坏蛋,5,3.5,2020-09-15 17:29:28,2020-09-15,购票
平邑,非常非常震撼,0,W.L,1,5.0,2020-09-15 17:29:03,2020-09-15,好评
上海,电影好看，旁边还做了个美女0.0,0,脑瓜子嗡嗡的吧！,1,4.0,2020-09-15 17:28:43,2020-09-15,好评
潜江,影片很震撼，好看,2,莱特妮丝 一吴海燕,2,5.0,2020-09-15 17:27:59,2020-09-15,好评
集美,真的很好看！木兰太帅了！！！,0,Luckywing.,3,5.0,2020-09-15 17:27:22,2020-09-15,好评
宁波,内容不错很感人，凤凰有点像塑料风筝,0,APG930700652,1,4.0,2020-09-15 17:27:14,2020-09-15,好评
上海,十分是给刘亦菲的，剧情负九分,0,ige130486810,3,0.5,2020-09-15 17:26:48,2020-09-15,unkown
伊川,还是老戏骨拍的戏有看头 ,2,C,2,5.0,2020-09-15 17:26:19,2020-09-15,好评
菏泽,感觉有点夸大了，剧情还可以吧,2,鈮🌃鈮,1,2.5,2020-09-15 17:26:10,2020-09-15,unkown
南京,可以把刘亦菲脸以外所有全屏蔽了。,1,悠然的回忆！,4,1.5,2020-09-15 17:26:02,2020-09-15,差评
深圳,酷毙了我菲菲,0,hahatg,3,5.0,2020-09-15 17:26:01,2020-09-15,好评
镇江,钱花的浪费了，刘亦菲烂片女王,1,Mr .孙,2,1.0,2020-09-15 17:25:49,2020-09-15,unkown
北京,***好看了 ，笑死我了！！全程爆笑,0,上岸的咸鱼,2,5.0,2020-09-15 17:25:35,2020-09-15,好评
海口,还行吧。。。。。,0,ZQy375379101,1,5.0,2020-09-15 17:25:34,2020-09-15,好评
西安,前期还好 感觉中期有点尬,1,一幕繁华°,3,3.0,2020-09-15 17:25:07,2020-09-15,购票
哈尔滨,还好吧，没什么太亮的点。,0,COB426663008,2,3.5,2020-09-15 17:24:26,2020-09-15,购票
邵阳,可以，神仙姐姐演技在线，剧情紧凑，有点小搞笑,2,王一博老婆anny,2,5.0,2020-09-15 17:24:20,2020-09-15,好评
衡阳,还可以吧，只能说让中国来拍会不知道好多少倍,0,mGE839473684,1,4.0,2020-09-15 17:23:50,2020-09-15,好评
中牟,如果花木兰由李冰冰扮演，效果又是怎样？,1,张庆富,4,3.5,2020-09-15 17:23:46,2020-09-15,购票
广州,太好看啦，也不知道这分数为什么会这么低，太振奋人心了！为刘亦菲打call🥺 🥺 ,1,Jeff,3,5.0,2020-09-15 17:23:07,2020-09-15,好评
广州,外国人拍中国故事的老毛病依旧——片里充满了对中国传统文化的幼稚认识和肤浅偏见，在台词里塞满各种似乎与中华文化相关的概念名词也都是不着边际的尴尬套用，让我回想到了之前看功夫熊猫第3部时的糟糕体验……而电影不仅在这些对中华文化的拙劣搬用上让我恶心，其中的剧作也粗制滥造得很，几乎没有一个形象能立得起来，角色成长甚至对话细节无一不突兀，人物之间的情感塑造更是薄弱不堪，所以对于剧情推进和人物互动我是毫无代入感甚至只有被迫出戏的可笑感……,0,kRd280868086,1,0.5,2020-09-15 17:22:39,2020-09-15,unkown
佛山,挺好看的，值得看,1,嚤膂騏仕,2,5.0,2020-09-15 17:22:07,2020-09-15,unkown
武汉,还不错 挺好的,0,Orm141234220,2,3.5,2020-09-15 17:21:32,2020-09-15,购票
柳州,还可以，就是悲情的地方渲染的不够,0,ISN837404525,2,4.0,2020-09-15 17:21:29,2020-09-15,unkown
松原,剧情一般般吧,0,良人不再.,4,2.5,2020-09-15 17:21:23,2020-09-15,购票
张家港,支持的继续更好,2,我爱吃橙子0,1,5.0,2020-09-15 17:21:05,2020-09-15,好评
十堰,和我家小侄女一起去看的，没想到小姑娘还挺喜欢的哈哈哈，她爸爸上学的时候就喜欢天仙，没想到最后女儿也没逃能过天仙,0,ECj846411007,1,5.0,2020-09-15 17:21:01,2020-09-15,好评
济南,还不错啊，没有想象中的难看,2,美男子小胖墩,2,5.0,2020-09-15 17:20:52,2020-09-15,好评
上海,电影一般般，不咋好看,0,TTE353667175,3,3.0,2020-09-15 17:20:14,2020-09-15,购票
北京,很好看，巾帼英雄,2,🌻。,3,5.0,2020-09-15 17:20:01,2020-09-15,好评
赣州,国产三Ｄ算是不错的了，音效差滴！,1,何以团,2,4.5,2020-09-15 17:19:14,2020-09-15,好评
十堰,垃圾。空气不好,1,一抹绿·绿松石_遥遥,1,0.5,2020-09-15 17:19:09,2020-09-15,差评
开州区,结局太快，没有感觉,0,有你就够了,1,1.0,2020-09-15 17:19:09,2020-09-15,差评
长沙,给刘亦菲颜值两颗星 美美哒！,0,Lulu,1,2.0,2020-09-15 17:19:05,2020-09-15,差评
南京,不错哦挺好的,0,驰本华,2,5.0,2020-09-15 17:18:37,2020-09-15,好评
成都,全中国人演出的电影全程说英语，中国人没人拍吗,1,霖君上,2,3.0,2020-09-15 17:18:22,2020-09-15,购票
北海,迪士尼亲手创建的木须龙，表情丰富的花木兰，又亲手毁了，来了一个面瘫演员……反差有点大,1,🤔ing,2,0.5,2020-09-15 17:17:52,2020-09-15,差评
杭州,感觉没有预想的差 还可以  就是感觉巩俐死得有点莫名其妙。,0,-   Li   薇.,2,4.0,2020-09-15 17:17:26,2020-09-15,unkown
天津,魔幻啊 天啊 国外导演不要来糟蹋了,0,-,2,1.0,2020-09-15 17:17:08,2020-09-15,unkown
庄河,电影很好呀！,2,Isabella,2,4.5,2020-09-15 17:17:04,2020-09-15,unkown
北京,剧情真的很一般,0,aTy705711020,2,3.0,2020-09-15 17:16:53,2020-09-15,购票
东阳,还行吧，还挺好看的,1,白胡子,2,5.0,2020-09-15 17:16:34,2020-09-15,好评
南充,还可以吧，没有想象中那么好看,2,淋琳,3,4.0,2020-09-15 17:15:59,2020-09-15,好评
河源,完美，刘亦菲真好看😄,1,笑看人生风雨路,2,5.0,2020-09-15 17:15:54,2020-09-15,unkown
成都,好看的好看的,2,张小妹,1,5.0,2020-09-15 17:15:53,2020-09-15,好评
长沙,刘亦菲真好看,2,廖琪,2,5.0,2020-09-15 17:15:50,2020-09-15,好评
无锡,剧情紧凑，前后呼应，立意清晰明确。新加入的凤凰和仙娘这个角色是有其独特用意的，凤凰＝信念：这种信念不是与生俱来的，而是随着旅途上的艰苦磨炼慢慢的激发出来的，明明可以退却回到家这个安逸窝里，但是木兰没有放弃依旧坚持替父从军为国效忠，此刻内心强大的信念（凤凰）出现指引前方的路；仙娘这个角色很出彩，亦正亦邪，就像是木兰的另一面，人一旦选择错了立场选择错了路，即便你能力出众实力惊人也是徒然的，最后替死很多人觉得尴尬，我二刷仔细看了这段，反派可汗要用箭射死仙娘因为她反叛了，她在木兰身上找到了她所追求的东西，而她自己没有回头的机会了，再厉害的人救人心切的时候绝对不会耍花架子的，就是自身相护，这就是本能！,2,Eternity°乐乐,1,5.0,2020-09-15 17:15:49,2020-09-15,好评
宿迁,挺好看的，推荐,1,背໊影໊ღ,2,5.0,2020-09-15 17:15:37,2020-09-15,unkown
贵阳,还有比一分更低的评分吗,1,农夫三拳,2,0.5,2020-09-15 17:15:03,2020-09-15,unkown
上海,天仙好看！！,0,haNt瑶,3,3.0,2020-09-15 17:13:37,2020-09-15,购票
德清,刘亦菲太好看了,2,嘻,2,5.0,2020-09-15 17:13:28,2020-09-15,unkown
涪陵,好看，刘亦菲小姐姐太美了！,0,Baby的小可爱,2,5.0,2020-09-15 17:13:13,2020-09-15,unkown
涪陵,好看，刘亦菲小姐姐太美了！,0,Baby的小可爱,2,5.0,2020-09-15 17:13:13,2020-09-15,unkown
内江,就觉得很棒 ,2,C$文g,1,5.0,2020-09-15 17:13:02,2020-09-15,unkown
襄阳,两个小孩看的很起劲，这就可以了，票钱没白花，拍的挺好的。,2,ZTF999027374,3,4.5,2020-09-15 17:12:57,2020-09-15,好评
珠海,总体还行，不会特别出彩，但也不差,0,realniklaus,3,3.5,2020-09-15 17:12:56,2020-09-15,购票
大同,好看中国的英雄,2,Zl起飞了,1,4.5,2020-09-15 17:12:50,2020-09-15,好评
泰安,好还行吧毕竟,0,你头发乱了咯,2,2.5,2020-09-15 17:12:40,2020-09-15,购票
南宁,很好看，推荐看,0,fci562044912,2,5.0,2020-09-15 17:12:34,2020-09-15,好评
长春,不好不哈不好,1,AA😜 😜,2,0.5,2020-09-15 17:12:24,2020-09-15,差评
潍坊,很好看，合格的迪士尼电影，刘亦菲很帅！！！！！！,1,灰太狼,2,5.0,2020-09-15 17:12:23,2020-09-15,好评
南阳,辣鸡，巩俐，老鹰法术这么刁，最后咋死了？,1,简单,4,0.5,2020-09-15 17:11:45,2020-09-15,差评
玉林,闲着没事可以看看，还好还好，还可以，也没有特别好看,2,Yas901551245,3,4.0,2020-09-15 17:11:04,2020-09-15,好评
南宁,感觉中规中矩,0,HNM846380169,1,4.5,2020-09-15 17:10:00,2020-09-15,好评
